Count,Proportion,StartA,EndA,StrandA,StartB,EndB,StrandB
42,0.0001914,5,1831,f,5,1831,t
40,0.0001823,5,1831,f,5,1831,t
38,0.0001732,157,1831,f,98,1831,t
33,0.0001504,5,1831,f,5,1831,t
32,0.0001458,157,1831,f,98,1831,t
26,0.0001185,611,1831,f,611,1831,t
24,0.0001094,157,1831,f,98,1831,t
23,0.0001048,98,1831,f,157,1831,t
23,0.0001048,98,1831,f,157,1831,t
22,0.0001002,611,1831,f,611,1831,t
22,0.0001002,157,1831,f,98,1831,t
19,0.0000866,865,1831,f,865,1831,t
19,0.0000866,652,1831,f,665,1831,t
19,0.0000866,227,1831,f,156,1831,t
17,0.0000775,98,1831,f,157,1831,t
16,0.0000729,665,1831,f,652,1831,t
16,0.0000729,420,1831,f,360,1831,t
16,0.0000729,157,1831,f,98,1831,t
16,0.0000729,865,1831,f,865,1831,t
16,0.0000729,5,1831,f,5,1831,t
16,0.0000729,5,1831,f,5,1831,t
15,0.0000684,98,1831,f,157,1831,t
14,0.0000638,665,1831,f,652,1831,t
13,0.0000592,98,1831,f,157,1831,t
13,0.0000592,5,1831,f,5,1831,t
13,0.0000592,652,1831,f,665,1831,t
13,0.0000592,420,1831,f,360,1831,t
12,0.0000547,865,1831,f,865,1831,t
12,0.0000547,420,1831,f,360,1831,t
11,0.0000501,865,1831,f,865,1831,t
11,0.0000501,156,1831,f,227,1831,t
11,0.0000501,227,1831,f,156,1831,t
10,0.0000456,227,1831,f,156,1831,t
10,0.0000456,648,1831,f,671,1831,t
9,0.0000410,157,1831,f,98,1831,t
9,0.0000410,652,1831,f,665,1831,t
9,0.0000410,156,1831,f,227,1831,t
8,0.0000365,648,1831,f,671,1831,t
8,0.0000365,156,1831,f,227,1831,t
8,0.0000365,865,1831,f,865,1831,t
8,0.0000365,671,1831,f,648,1831,t
8,0.0000365,360,1831,f,420,1831,t
8,0.0000365,156,1831,f,227,1831,t
7,0.0000319,865,1831,f,865,1831,t
7,0.0000319,611,1831,f,611,1831,t
7,0.0000319,421,1831,f,360,1831,t
7,0.0000319,420,1831,f,360,1831,t
7,0.0000319,360,1831,f,420,1831,t
7,0.0000319,223,1831,f,196,1831,t
7,0.0000319,665,1831,f,652,1831,t
7,0.0000319,611,1831,f,611,1831,t
7,0.0000319,420,1831,f,360,1831,t
7,0.0000319,227,1831,f,156,1831,t
7,0.0000319,98,1831,f,157,1831,t
7,0.0000319,611,1831,f,611,1831,t
7,0.0000319,157,1831,f,98,1831,t
6,0.0000273,156,1831,f,227,1831,t
6,0.0000273,702,1831,f,702,1831,t
6,0.0000273,665,1831,f,652,1831,t
6,0.0000273,611,1831,f,611,1831,t
6,0.0000273,441,1831,f,441,1831,t
6,0.0000273,360,1831,f,420,1831,t
6,0.0000273,98,1831,f,157,1831,t
6,0.0000273,360,1831,f,420,1831,t
6,0.0000273,665,1831,f,652,1831,t
5,0.0000228,98,1831,f,157,1831,t
5,0.0000228,652,1831,f,665,1831,t
5,0.0000228,420,1831,f,360,1831,t
5,0.0000228,227,1831,f,156,1831,t
5,0.0000228,455,1831,f,443,1831,t
5,0.0000228,360,1831,f,421,1831,t
5,0.0000228,352,1831,f,421,1831,t
5,0.0000228,227,1831,f,156,1831,t
5,0.0000228,865,1831,f,865,1831,t
5,0.0000228,652,1831,f,665,1831,t
5,0.0000228,196,1831,f,223,1831,t
5,0.0000228,196,1831,f,223,1831,t
5,0.0000228,108,1831,f,108,1831,t
5,0.0000228,865,1831,f,865,1831,t
5,0.0000228,774,1831,f,774,1831,t
5,0.0000228,652,1831,f,665,1831,t
5,0.0000228,5,1831,f,5,1831,t
5,0.0000228,420,1831,f,360,1831,t
4,0.0000182,5,1831,f,5,1831,t
4,0.0000182,5,1831,f,5,1831,t
4,0.0000182,157,1831,f,98,1831,t
4,0.0000182,834,1831,f,834,1831,t
4,0.0000182,774,1831,f,774,1831,t
4,0.0000182,657,1831,f,657,1831,t
4,0.0000182,652,1831,f,652,1831,t
4,0.0000182,602,1831,f,586,1831,t
4,0.0000182,5,1831,f,5,1831,t
4,0.0000182,428,1831,f,360,1831,t
4,0.0000182,428,1831,f,360,1831,t
4,0.0000182,360,1831,f,421,1831,t
4,0.0000182,1659,1831,f,1673,1831,t
4,0.0000182,108,1831,f,108,1831,t
4,0.0000182,814,1831,f,814,1831,t
4,0.0000182,657,1831,f,657,1831,t
4,0.0000182,555,1831,f,555,1831,t
4,0.0000182,422,1831,f,352,1831,t
4,0.0000182,360,1831,f,428,1831,t
4,0.0000182,360,1831,f,428,1831,t
4,0.0000182,352,1831,f,421,1831,t
4,0.0000182,352,1831,f,420,1831,t
4,0.0000182,264,1831,f,448,1831,t
4,0.0000182,223,1831,f,196,1831,t
4,0.0000182,155,1831,f,155,1831,t
4,0.0000182,648,1831,f,671,1831,t
4,0.0000182,420,1831,f,360,1831,t
4,0.0000182,360,1831,f,428,1831,t
3,0.0000137,1771,1831,f,1690,1831,t
3,0.0000137,611,1831,f,611,1831,t
3,0.0000137,774,1831,f,774,1831,t
3,0.0000137,652,1831,f,665,1831,t
3,0.0000137,196,1831,f,223,1831,t
3,0.0000137,98,1831,f,157,1831,t
3,0.0000137,865,1831,f,878,1831,t
3,0.0000137,850,1831,f,830,1831,t
3,0.0000137,814,1831,f,827,1831,t
3,0.0000137,812,1831,f,797,1831,t
3,0.0000137,774,1831,f,774,1831,t
3,0.0000137,774,1831,f,771,1831,t
3,0.0000137,757,1831,f,774,1831,t
3,0.0000137,671,1831,f,648,1831,t
3,0.0000137,648,1831,f,671,1831,t
3,0.0000137,641,1831,f,620,1831,t
3,0.0000137,611,1831,f,611,1831,t
3,0.0000137,520,1831,f,497,1831,t
3,0.0000137,455,1831,f,443,1831,t
3,0.0000137,427,1831,f,361,1831,t
3,0.0000137,420,1831,f,360,1831,t
3,0.0000137,360,1831,f,423,1831,t
3,0.0000137,352,1831,f,422,1831,t
3,0.0000137,352,1831,f,420,1831,t
3,0.0000137,264,1831,f,448,1831,t
3,0.0000137,196,1831,f,223,1831,t
3,0.0000137,196,1831,f,223,1831,t
3,0.0000137,189,1831,f,189,1831,t
3,0.0000137,157,1831,f,98,1831,t
3,0.0000137,1016,1831,f,939,1831,t
3,0.0000137,980,1831,f,972,1831,t
3,0.0000137,828,1831,f,860,1831,t
3,0.0000137,812,1831,f,797,1831,t
3,0.0000137,774,1831,f,774,1831,t
3,0.0000137,657,1831,f,657,1831,t
3,0.0000137,652,1831,f,665,1831,t
3,0.0000137,620,1831,f,641,1831,t
3,0.0000137,585,1831,f,602,1831,t
3,0.0000137,552,1831,f,550,1831,t
3,0.0000137,523,1831,f,503,1831,t
3,0.0000137,497,1831,f,520,1831,t
3,0.0000137,455,1831,f,443,1831,t
3,0.0000137,441,1831,f,441,1831,t
3,0.0000137,431,1831,f,369,1831,t
3,0.0000137,422,1831,f,360,1831,t
3,0.0000137,421,1831,f,360,1831,t
3,0.0000137,420,1831,f,352,1831,t
3,0.0000137,360,1831,f,423,1831,t
3,0.0000137,360,1831,f,423,1831,t
3,0.0000137,360,1831,f,421,1831,t
3,0.0000137,352,1831,f,421,1831,t
3,0.0000137,223,1831,f,196,1831,t
3,0.0000137,157,1831,f,98,1831,t
3,0.0000137,154,1831,f,155,1831,t
3,0.0000137,98,1831,f,157,1831,t
3,0.0000137,865,1831,f,865,1831,t
3,0.0000137,814,1831,f,814,1831,t
3,0.0000137,657,1831,f,657,1831,t
3,0.0000137,352,1831,f,422,1831,t
3,0.0000137,227,1831,f,156,1831,t
3,0.0000137,108,1831,f,108,1831,t
3,0.0000137,98,1831,f,157,1831,t
3,0.0000137,652,1831,f,665,1831,t
3,0.0000137,157,1831,f,98,1831,t
2,0.0000091,157,1831,f,98,1831,t
2,0.0000091,652,1831,f,665,1831,t
2,0.0000091,98,1831,f,157,1831,t
2,0.0000091,865,1831,f,865,1831,t
2,0.0000091,5,1831,f,5,1831,t
2,0.0000091,420,1831,f,360,1831,t
2,0.0000091,999,1831,f,931,1831,t
2,0.0000091,865,1831,f,865,1831,t
2,0.0000091,865,1831,f,865,1831,t
2,0.0000091,865,1831,f,865,1831,t
2,0.0000091,860,1831,f,828,1831,t
2,0.0000091,665,1831,f,652,1831,t
2,0.0000091,652,1831,f,665,1831,t
2,0.0000091,641,1831,f,620,1831,t
2,0.0000091,602,1831,f,586,1831,t
2,0.0000091,552,1831,f,552,1831,t
2,0.0000091,520,1831,f,497,1831,t
2,0.0000091,5,1831,f,5,1831,t
2,0.0000091,5,1831,f,5,1831,t
2,0.0000091,449,1831,f,456,1831,t
2,0.0000091,448,1831,f,264,1831,t
2,0.0000091,442,1831,f,445,1831,t
2,0.0000091,420,1831,f,360,1831,t
2,0.0000091,360,1831,f,423,1831,t
2,0.0000091,360,1831,f,421,1831,t
2,0.0000091,227,1831,f,156,1831,t
2,0.0000091,156,1831,f,227,1831,t
2,0.0000091,155,1831,f,154,1831,t
2,0.0000091,108,1831,f,108,1831,t
2,0.0000091,102,1831,f,157,1831,t
2,0.0000091,999,1831,f,931,1831,t
2,0.0000091,997,1831,f,1041,1831,t
2,0.0000091,987,1831,f,987,1831,t
2,0.0000091,939,1831,f,1016,1831,t
2,0.0000091,834,1831,f,828,1831,t
2,0.0000091,834,1831,f,828,1831,t
2,0.0000091,828,1831,f,860,1831,t
2,0.0000091,824,1831,f,828,1831,t
2,0.0000091,814,1831,f,814,1831,t
2,0.0000091,814,1831,f,814,1831,t
2,0.0000091,797,1831,f,812,1831,t
2,0.0000091,774,1831,f,774,1831,t
2,0.0000091,774,1831,f,757,1831,t
2,0.0000091,671,1831,f,648,1831,t
2,0.0000091,665,1831,f,652,1831,t
2,0.0000091,657,1831,f,657,1831,t
2,0.0000091,657,1831,f,657,1831,t
2,0.0000091,652,1831,f,665,1831,t
2,0.0000091,652,1831,f,665,1831,t
2,0.0000091,612,1831,f,588,1831,t
2,0.0000091,588,1831,f,612,1831,t
2,0.0000091,588,1831,f,612,1831,t
2,0.0000091,586,1831,f,602,1831,t
2,0.0000091,586,1831,f,602,1831,t
2,0.0000091,581,1831,f,519,1831,t
2,0.0000091,569,1831,f,541,1831,t
2,0.0000091,553,1831,f,555,1831,t
2,0.0000091,552,1831,f,554,1831,t
2,0.0000091,547,1831,f,557,1831,t
2,0.0000091,541,1831,f,541,1831,t
2,0.0000091,529,1831,f,497,1831,t
2,0.0000091,520,1831,f,497,1831,t
2,0.0000091,514,1831,f,514,1831,t
2,0.0000091,5,1831,f,5,1831,t
2,0.0000091,497,1831,f,520,1831,t
2,0.0000091,497,1831,f,520,1831,t
2,0.0000091,481,1831,f,525,1831,t
2,0.0000091,476,1831,f,525,1831,t
2,0.0000091,463,1831,f,441,1831,t
2,0.0000091,460,1831,f,443,1831,t
2,0.0000091,448,1831,f,71,1831,t
2,0.0000091,433,1831,f,369,1831,t
2,0.0000091,428,1831,f,364,1831,t
2,0.0000091,423,1831,f,360,1831,t
2,0.0000091,423,1831,f,360,1831,t
2,0.0000091,422,1831,f,352,1831,t
2,0.0000091,421,1831,f,360,1831,t
2,0.0000091,420,1831,f,352,1831,t
2,0.0000091,419,1831,f,360,1831,t
2,0.0000091,363,1831,f,427,1831,t
2,0.0000091,360,1831,f,428,1831,t
2,0.0000091,360,1831,f,419,1831,t
2,0.0000091,352,1831,f,420,1831,t
2,0.0000091,271,1831,f,271,1831,t
2,0.0000091,267,1831,f,262,1831,t
2,0.0000091,223,1831,f,196,1831,t
2,0.0000091,1658,1831,f,1673,1831,t
2,0.0000091,156,1831,f,98,1831,t
2,0.0000091,156,1831,f,230,1831,t
2,0.0000091,155,1831,f,155,1831,t
2,0.0000091,155,1831,f,154,1831,t
2,0.0000091,1425,1831,f,1405,1831,t
2,0.0000091,108,1831,f,108,1831,t
2,0.0000091,987,1831,f,987,1831,t
2,0.0000091,94,1831,f,157,1831,t
2,0.0000091,939,1831,f,1016,1831,t
2,0.0000091,882,1831,f,869,1831,t
2,0.0000091,868,1831,f,865,1831,t
2,0.0000091,860,1831,f,828,1831,t
2,0.0000091,834,1831,f,834,1831,t
2,0.0000091,834,1831,f,828,1831,t
2,0.0000091,828,1831,f,834,1831,t
2,0.0000091,814,1831,f,814,1831,t
2,0.0000091,812,1831,f,796,1831,t
2,0.0000091,797,1831,f,812,1831,t
2,0.0000091,774,1831,f,774,1831,t
2,0.0000091,772,1831,f,774,1831,t
2,0.0000091,71,1831,f,448,1831,t
2,0.0000091,702,1831,f,702,1831,t
2,0.0000091,671,1831,f,648,1831,t
2,0.0000091,671,1831,f,648,1831,t
2,0.0000091,652,1831,f,659,1831,t
