"Breakpoint","Count","Proportion","MFE","Category"
123,1,0.105263157894737,31,"Coding / Plus strand"
131,1,0.105263157894737,31,"Coding / Plus strand"
205,2,0.210526315789474,31,"Coding / Plus strand"
231,1,0.105263157894737,31,"Coding / Plus strand"
265,1,0.105263157894737,31,"Coding / Plus strand"
378,0.5,0.0526315789473684,31,"Coding / Plus strand"
379,0.5,0.0526315789473684,31,"Coding / Plus strand"
381,0.5,0.0526315789473684,31,"Coding / Plus strand"
441,1,0.105263157894737,31,"Coding / Plus strand"
938,0.5,0.0526315789473684,31,"Coding / Plus strand"
944,0.5,0.0526315789473684,31,"Coding / Plus strand"
1,15.5,0.00400827514869408,30.2,"Non-Coding / Minus strand"
2,2,0.000517196793379881,31,"Non-Coding / Minus strand"
4,3.5,0.000905094388414792,30.7,"Non-Coding / Minus strand"
5,232.5,0.0601241272304112,30.2,"Non-Coding / Minus strand"
6,8,0.00206878717351952,31,"Non-Coding / Minus strand"
7,2.5,0.000646495991724851,31,"Non-Coding / Minus strand"
17,9,0.00232738557020946,31,"Non-Coding / Minus strand"
22,1,0.000258598396689941,31,"Non-Coding / Minus strand"
23,1,0.000258598396689941,31,"Non-Coding / Minus strand"
28,1,0.000258598396689941,31,"Non-Coding / Minus strand"
33,1,0.000258598396689941,31,"Non-Coding / Minus strand"
37,1,0.000258598396689941,31,"Non-Coding / Minus strand"
38,1.5,0.000387897595034911,31,"Non-Coding / Minus strand"
44,0.5,0.00012929919834497,31,"Non-Coding / Minus strand"
50,3,0.000775795190069822,31,"Non-Coding / Minus strand"
54,1,0.000258598396689941,31,"Non-Coding / Minus strand"
60,1,0.000258598396689941,31,"Non-Coding / Minus strand"
68,1,0.000258598396689941,31,"Non-Coding / Minus strand"
69,1,0.000258598396689941,31,"Non-Coding / Minus strand"
70,1,0.000258598396689941,31,"Non-Coding / Minus strand"
71,3,0.000775795190069822,31,"Non-Coding / Minus strand"
72,1,0.000258598396689941,31,"Non-Coding / Minus strand"
76,1,0.000258598396689941,31,"Non-Coding / Minus strand"
84,1,0.000258598396689941,31,"Non-Coding / Minus strand"
85,1,0.000258598396689941,31,"Non-Coding / Minus strand"
90,1,0.000258598396689941,31,"Non-Coding / Minus strand"
94,2,0.000517196793379881,31,"Non-Coding / Minus strand"
96,3,0.000775795190069822,31,"Non-Coding / Minus strand"
98,221.5,0.0572795448668218,31,"Non-Coding / Minus strand"
101,2,0.000517196793379881,31,"Non-Coding / Minus strand"
102,5,0.0012929919834497,31,"Non-Coding / Minus strand"
103,5,0.0012929919834497,31,"Non-Coding / Minus strand"
104,2,0.000517196793379881,31,"Non-Coding / Minus strand"
108,21,0.00543056633048875,31,"Non-Coding / Minus strand"
110,1,0.000258598396689941,31,"Non-Coding / Minus strand"
123,1,0.000258598396689941,31,"Non-Coding / Minus strand"
129,2,0.000517196793379881,31,"Non-Coding / Minus strand"
131,1,0.000258598396689941,31,"Non-Coding / Minus strand"
134,1,0.000258598396689941,31,"Non-Coding / Minus strand"
138,6.5,0.00168088957848461,31,"Non-Coding / Minus strand"
