StartB,MFE,ranked,Sliding_window
1,30.2,1.0," 1_40bp-Brkp
"
2,31.0,1.0," 2_40bp-Brkp
"
4,30.7,1.0," 4_40bp-Brkp
"
5,30.2,1.0," 5_40bp-Brkp
"
6,31.0,1.0," 6_40bp-Brkp
"
7,31.0,1.0," 7_5bp-Brkp-35bp
"
17,31.0,1.0," 17_15bp-Brkp-25bp
"
22,31.0,1.0," 22_20bp-Brkp-20bp
"
23,31.0,1.0," 23_5bp-Brkp-35bp
"
28,31.0,1.0," 28_10bp-Brkp-30bp
"
33,31.0,1.0," 33_15bp-Brkp-25bp
"
37,31.0,1.0," 37_35bp-Brkp-5bp
"
38,31.0,1.0," 38_20bp-Brkp-20bp
"
44,31.0,1.0," 44_10bp-Brkp-30bp
"
50,31.0,1.0," 50_20bp-Brkp-20bp
"
54,31.0,1.0," 54_20bp-Brkp-20bp
"
60,31.0,1.0," 60_10bp-Brkp-30bp
"
68,31.0,1.0," 68_10bp-Brkp-30bp
"
69,31.0,1.0," 69_35bp-Brkp-5bp
"
70,31.0,1.0," 70_20bp-Brkp-20bp
"
71,31.0,1.0," 71_5bp-Brkp-35bp
"
72,31.0,1.0," 72_10bp-Brkp-30bp
"
76,31.0,1.0," 76_10bp-Brkp-30bp
"
84,31.0,1.0," 84_10bp-Brkp-30bp
"
85,31.0,1.0," 85_35bp-Brkp-5bp
"
90,31.0,1.0," 90_20bp-Brkp-20bp
"
94,31.0,1.0," 94_20bp-Brkp-20bp
"
96,31.0,1.0," 96_10bp-Brkp-30bp
"
98,31.0,1.0," 98_20bp-Brkp-20bp
"
101,31.0,1.0," 101_35bp-Brkp-5bp
"
102,31.0,1.0," 102_20bp-Brkp-20bp
"
103,31.0,1.0," 103_5bp-Brkp-35bp
"
104,31.0,1.0," 104_10bp-Brkp-30bp
"
108,31.0,1.0," 108_10bp-Brkp-30bp
"
110,31.0,1.0," 110_20bp-Brkp-20bp
"
123,31.0,1.0," 123_5bp-Brkp-35bp
"
129,31.0,1.0," 129_35bp-Brkp-5bp
"
131,31.0,1.0," 131_5bp-Brkp-35bp
"
134,31.0,1.0," 134_20bp-Brkp-20bp
"
138,31.0,1.0," 138_20bp-Brkp-20bp
"
150,31.0,1.0," 150_20bp-Brkp-20bp
"
153,31.0,1.0," 153_35bp-Brkp-5bp
"
154,31.0,1.0," 154_20bp-Brkp-20bp
"
155,31.0,1.0," 155_5bp-Brkp-35bp
"
156,31.0,1.0," 156_10bp-Brkp-30bp
"
157,31.0,1.0," 157_35bp-Brkp-5bp
"
158,31.0,1.0," 158_20bp-Brkp-20bp
"
159,31.0,1.0," 159_5bp-Brkp-35bp
"
160,31.0,1.0," 160_10bp-Brkp-30bp
"
165,31.0,1.0," 165_35bp-Brkp-5bp
"
169,31.0,1.0," 169_35bp-Brkp-5bp
"
174,31.0,1.0," 174_20bp-Brkp-20bp
"
178,31.0,1.0," 178_20bp-Brkp-20bp
"
179,31.0,1.0," 179_5bp-Brkp-35bp
"
180,31.0,1.0," 180_10bp-Brkp-30bp
"
186,31.0,1.0," 186_20bp-Brkp-20bp
"
189,31.0,1.0," 189_35bp-Brkp-5bp
"
192,31.0,1.0," 192_10bp-Brkp-30bp
"
193,31.0,1.0," 193_35bp-Brkp-5bp
"
195,31.0,1.0," 195_5bp-Brkp-35bp
"
196,31.0,1.0," 196_10bp-Brkp-30bp
"
205,31.0,1.0," 205_35bp-Brkp-5bp
"
212,31.0,1.0," 212_10bp-Brkp-30bp
"
213,31.0,1.0," 213_35bp-Brkp-5bp
"
214,31.0,1.0," 214_20bp-Brkp-20bp
"
221,31.0,1.0," 221_35bp-Brkp-5bp
"
222,31.0,1.0," 222_20bp-Brkp-20bp
"
223,31.0,1.0," 223_5bp-Brkp-35bp
"
227,31.0,1.0," 227_5bp-Brkp-35bp
"
230,31.0,1.0," 230_20bp-Brkp-20bp
"
233,31.0,1.0," 233_35bp-Brkp-5bp
"
234,31.0,1.0," 234_20bp-Brkp-20bp
"
235,31.0,1.0," 235_5bp-Brkp-35bp
"
236,31.0,1.0," 236_10bp-Brkp-30bp
"
239,31.0,1.0," 239_5bp-Brkp-35bp
"
240,31.0,1.0," 240_10bp-Brkp-30bp
"
241,31.0,1.0," 241_35bp-Brkp-5bp
"
245,31.0,1.0," 245_35bp-Brkp-5bp
"
248,31.0,1.0," 248_10bp-Brkp-30bp
"
249,31.0,1.0," 249_35bp-Brkp-5bp
"
256,31.0,1.0," 256_10bp-Brkp-30bp
"
259,31.0,1.0," 259_5bp-Brkp-35bp
"
262,31.0,1.0," 262_20bp-Brkp-20bp
"
263,31.0,1.0," 263_5bp-Brkp-35bp
"
264,31.0,1.0," 264_10bp-Brkp-30bp
"
268,31.0,1.0," 268_10bp-Brkp-30bp
"
269,31.0,1.0," 269_35bp-Brkp-5bp
"
271,31.0,1.0," 271_5bp-Brkp-35bp
"
276,31.0,1.0," 276_10bp-Brkp-30bp
"
281,31.0,1.0," 281_35bp-Brkp-5bp
"
282,31.0,1.0," 282_20bp-Brkp-20bp
"
283,31.0,1.0," 283_5bp-Brkp-35bp
"
284,31.0,1.0," 284_10bp-Brkp-30bp
"
289,31.0,1.0," 289_35bp-Brkp-5bp
"
296,31.0,1.0," 296_10bp-Brkp-30bp
"
299,31.0,1.0," 299_5bp-Brkp-35bp
"
305,31.0,1.0," 305_35bp-Brkp-5bp
"
306,31.0,1.0," 306_20bp-Brkp-20bp
"
308,31.0,1.0," 308_10bp-Brkp-30bp
"
312,31.0,1.0," 312_10bp-Brkp-30bp
"
314,31.0,1.0," 314_20bp-Brkp-20bp
"
320,31.0,1.0," 320_10bp-Brkp-30bp
"
329,31.0,1.0," 329_35bp-Brkp-5bp
"
332,31.0,1.0," 332_10bp-Brkp-30bp
"
333,31.0,1.0," 333_35bp-Brkp-5bp
"
339,31.0,1.0," 339_5bp-Brkp-35bp
"
344,31.0,1.0," 344_10bp-Brkp-30bp
"
346,31.0,1.0," 346_20bp-Brkp-20bp
"
348,31.0,1.0," 348_10bp-Brkp-30bp
"
352,31.0,1.0," 352_10bp-Brkp-30bp
"
354,31.0,1.0," 354_20bp-Brkp-20bp
"
356,31.0,1.0," 356_10bp-Brkp-30bp
"
357,31.0,1.0," 357_35bp-Brkp-5bp
"
358,31.0,1.0," 358_20bp-Brkp-20bp
"
360,31.0,1.0," 360_10bp-Brkp-30bp
"
361,31.0,1.0," 361_35bp-Brkp-5bp
"
362,31.0,1.0," 362_20bp-Brkp-20bp
"
363,31.0,1.0," 363_5bp-Brkp-35bp
"
364,31.0,1.0," 364_10bp-Brkp-30bp
"
365,31.0,1.0," 365_35bp-Brkp-5bp
"
366,31.0,1.0," 366_20bp-Brkp-20bp
"
369,31.0,1.0," 369_35bp-Brkp-5bp
"
370,31.0,1.0," 370_20bp-Brkp-20bp
"
372,31.0,1.0," 372_10bp-Brkp-30bp
"
379,31.0,1.0," 379_5bp-Brkp-35bp
"
381,31.0,1.0," 381_35bp-Brkp-5bp
"
385,31.0,1.0," 385_35bp-Brkp-5bp
"
387,31.0,1.0," 387_5bp-Brkp-35bp
"
393,31.0,1.0," 393_35bp-Brkp-5bp
"
403,31.0,1.0," 403_5bp-Brkp-35bp
"
404,31.0,1.0," 404_10bp-Brkp-30bp
"
405,31.0,1.0," 405_35bp-Brkp-5bp
"
410,31.0,1.0," 410_20bp-Brkp-20bp
"
412,31.0,1.0," 412_10bp-Brkp-30bp
"
413,31.0,1.0," 413_35bp-Brkp-5bp
"
414,31.0,1.0," 414_20bp-Brkp-20bp
"
415,31.0,1.0," 415_5bp-Brkp-35bp
"
416,31.0,1.0," 416_10bp-Brkp-30bp
"
417,31.0,1.0," 417_35bp-Brkp-5bp
"
418,31.0,1.0," 418_20bp-Brkp-20bp
"
419,31.0,1.0," 419_5bp-Brkp-35bp
"
420,31.0,1.0," 420_10bp-Brkp-30bp
"
421,31.0,1.0," 421_35bp-Brkp-5bp
"
422,31.0,1.0," 422_20bp-Brkp-20bp
"
423,31.0,1.0," 423_5bp-Brkp-35bp
"
424,31.0,1.0," 424_10bp-Brkp-30bp
"
427,31.0,1.0," 427_5bp-Brkp-35bp
"
428,31.0,1.0," 428_10bp-Brkp-30bp
"
429,31.0,1.0," 429_35bp-Brkp-5bp
"
430,31.0,1.0," 430_20bp-Brkp-20bp
"
431,31.0,1.0," 431_5bp-Brkp-35bp
"
432,31.0,1.0," 432_10bp-Brkp-30bp
"
433,31.0,1.0," 433_35bp-Brkp-5bp
"
435,31.0,1.0," 435_5bp-Brkp-35bp
"
437,31.0,1.0," 437_35bp-Brkp-5bp
"
438,31.0,1.0," 438_20bp-Brkp-20bp
"
439,31.0,1.0," 439_5bp-Brkp-35bp
"
440,31.0,1.0," 440_10bp-Brkp-30bp
"
441,31.0,1.0," 441_35bp-Brkp-5bp
"
442,31.0,1.0," 442_20bp-Brkp-20bp
"
443,31.0,1.0," 443_5bp-Brkp-35bp
"
444,31.0,1.0," 444_10bp-Brkp-30bp
"
445,31.0,1.0," 445_35bp-Brkp-5bp
"
446,31.0,1.0," 446_20bp-Brkp-20bp
"
447,31.0,1.0," 447_5bp-Brkp-35bp
"
448,31.0,1.0," 448_10bp-Brkp-30bp
"
449,31.0,1.0," 449_35bp-Brkp-5bp
"
451,31.0,1.0," 451_5bp-Brkp-35bp
"
453,31.0,1.0," 453_35bp-Brkp-5bp
"
454,31.0,1.0," 454_20bp-Brkp-20bp
"
455,31.0,1.0," 455_5bp-Brkp-35bp
"
456,31.0,1.0," 456_10bp-Brkp-30bp
"
457,31.0,1.0," 457_35bp-Brkp-5bp
"
458,31.0,1.0," 458_20bp-Brkp-20bp
"
460,31.0,1.0," 460_10bp-Brkp-30bp
"
461,31.0,1.0," 461_35bp-Brkp-5bp
"
462,31.0,1.0," 462_20bp-Brkp-20bp
"
463,31.0,1.0," 463_5bp-Brkp-35bp
"
464,31.0,1.0," 464_10bp-Brkp-30bp
"
465,31.0,1.0," 465_35bp-Brkp-5bp
"
466,31.0,1.0," 466_20bp-Brkp-20bp
"
467,31.0,1.0," 467_5bp-Brkp-35bp
"
471,31.0,1.0," 471_5bp-Brkp-35bp
"
473,31.0,1.0," 473_35bp-Brkp-5bp
"
474,31.0,1.0," 474_20bp-Brkp-20bp
"
476,31.0,1.0," 476_10bp-Brkp-30bp
"
478,31.0,1.0," 478_20bp-Brkp-20bp
"
479,31.0,1.0," 479_5bp-Brkp-35bp
"
480,31.0,1.0," 480_10bp-Brkp-30bp
"
481,31.0,1.0," 481_35bp-Brkp-5bp
"
482,31.0,1.0," 482_20bp-Brkp-20bp
"
491,31.0,1.0," 491_5bp-Brkp-35bp
"
495,31.0,1.0," 495_5bp-Brkp-35bp
"
497,31.0,1.0," 497_35bp-Brkp-5bp
"
498,31.0,1.0," 498_20bp-Brkp-20bp
"
500,31.0,1.0," 500_10bp-Brkp-30bp
"
503,31.0,1.0," 503_5bp-Brkp-35bp
"
504,31.0,1.0," 504_10bp-Brkp-30bp
"
505,31.0,1.0," 505_35bp-Brkp-5bp
"
509,31.0,1.0," 509_35bp-Brkp-5bp
"
510,31.0,1.0," 510_20bp-Brkp-20bp
"
511,31.0,1.0," 511_5bp-Brkp-35bp
"
512,31.0,1.0," 512_10bp-Brkp-30bp
"
513,31.0,1.0," 513_35bp-Brkp-5bp
"
514,31.0,1.0," 514_20bp-Brkp-20bp
"
515,31.0,1.0," 515_5bp-Brkp-35bp
"
516,31.0,1.0," 516_10bp-Brkp-30bp
"
517,31.0,1.0," 517_35bp-Brkp-5bp
"
518,31.0,1.0," 518_20bp-Brkp-20bp
"
519,31.0,1.0," 519_5bp-Brkp-35bp
"
520,31.0,1.0," 520_10bp-Brkp-30bp
"
521,31.0,1.0," 521_35bp-Brkp-5bp
"
522,31.0,1.0," 522_20bp-Brkp-20bp
"
523,31.0,1.0," 523_5bp-Brkp-35bp
"
525,31.0,1.0," 525_35bp-Brkp-5bp
"
527,31.0,1.0," 527_5bp-Brkp-35bp
"
528,31.0,1.0," 528_10bp-Brkp-30bp
"
531,31.0,1.0," 531_5bp-Brkp-35bp
"
532,31.0,1.0," 532_10bp-Brkp-30bp
"
539,31.0,1.0," 539_5bp-Brkp-35bp
"
540,31.0,1.0," 540_10bp-Brkp-30bp
"
541,31.0,1.0," 541_35bp-Brkp-5bp
"
546,31.0,1.0," 546_20bp-Brkp-20bp
"
547,31.0,1.0," 547_5bp-Brkp-35bp
"
548,31.0,1.0," 548_10bp-Brkp-30bp
"
550,31.0,1.0," 550_20bp-Brkp-20bp
"
551,31.0,1.0," 551_5bp-Brkp-35bp
"
552,31.0,1.0," 552_10bp-Brkp-30bp
"
553,31.0,1.0," 553_35bp-Brkp-5bp
"
554,31.0,1.0," 554_20bp-Brkp-20bp
"
555,31.0,1.0," 555_5bp-Brkp-35bp
"
556,31.0,1.0," 556_10bp-Brkp-30bp
"
557,31.0,1.0," 557_35bp-Brkp-5bp
"
558,31.0,1.0," 558_20bp-Brkp-20bp
"
559,31.0,1.0," 559_5bp-Brkp-35bp
"
560,31.0,1.0," 560_10bp-Brkp-30bp
"
561,31.0,1.0," 561_35bp-Brkp-5bp
"
562,31.0,1.0," 562_20bp-Brkp-20bp
"
563,31.0,1.0," 563_5bp-Brkp-35bp
"
565,31.0,1.0," 565_35bp-Brkp-5bp
"
566,31.0,1.0," 566_20bp-Brkp-20bp
"
567,31.0,1.0," 567_5bp-Brkp-35bp
"
568,31.0,1.0," 568_10bp-Brkp-30bp
"
569,31.0,1.0," 569_35bp-Brkp-5bp
"
574,31.0,1.0," 574_20bp-Brkp-20bp
"
578,31.0,1.0," 578_20bp-Brkp-20bp
"
580,31.0,1.0," 580_10bp-Brkp-30bp
"
581,31.0,1.0," 581_35bp-Brkp-5bp
"
583,31.0,1.0," 583_5bp-Brkp-35bp
"
584,31.0,1.0," 584_10bp-Brkp-30bp
"
585,31.0,1.0," 585_35bp-Brkp-5bp
"
586,31.0,1.0," 586_20bp-Brkp-20bp
"
587,31.0,1.0," 587_5bp-Brkp-35bp
"
588,31.0,1.0," 588_10bp-Brkp-30bp
"
589,31.0,1.0," 589_35bp-Brkp-5bp
"
590,31.0,1.0," 590_20bp-Brkp-20bp
"
593,31.0,1.0," 593_35bp-Brkp-5bp
"
594,31.0,1.0," 594_20bp-Brkp-20bp
"
595,31.0,1.0," 595_5bp-Brkp-35bp
"
596,31.0,1.0," 596_10bp-Brkp-30bp
"
597,31.0,1.0," 597_35bp-Brkp-5bp
"
598,31.0,1.0," 598_20bp-Brkp-20bp
"
600,31.0,1.0," 600_10bp-Brkp-30bp
"
602,31.0,1.0," 602_20bp-Brkp-20bp
"
605,31.0,1.0," 605_35bp-Brkp-5bp
"
606,31.0,1.0," 606_20bp-Brkp-20bp
"
609,31.0,1.0," 609_35bp-Brkp-5bp
"
611,31.0,1.0," 611_5bp-Brkp-35bp
"
612,31.0,1.0," 612_10bp-Brkp-30bp
"
613,31.0,1.0," 613_35bp-Brkp-5bp
"
614,31.0,1.0," 614_20bp-Brkp-20bp
"
615,31.0,1.0," 615_5bp-Brkp-35bp
"
619,31.0,1.0," 619_5bp-Brkp-35bp
"
620,31.0,1.0," 620_10bp-Brkp-30bp
"
621,31.0,1.0," 621_35bp-Brkp-5bp
"
622,31.0,1.0," 622_20bp-Brkp-20bp
"
623,31.0,1.0," 623_5bp-Brkp-35bp
"
624,31.0,1.0," 624_10bp-Brkp-30bp
"
626,31.0,1.0," 626_20bp-Brkp-20bp
"
627,31.0,1.0," 627_5bp-Brkp-35bp
"
628,31.0,1.0," 628_10bp-Brkp-30bp
"
629,31.0,1.0," 629_35bp-Brkp-5bp
"
630,31.0,1.0," 630_20bp-Brkp-20bp
"
631,31.0,1.0," 631_5bp-Brkp-35bp
"
632,31.0,1.0," 632_10bp-Brkp-30bp
"
633,31.0,1.0," 633_35bp-Brkp-5bp
"
634,31.0,1.0," 634_20bp-Brkp-20bp
"
635,31.0,1.0," 635_5bp-Brkp-35bp
"
637,31.0,1.0," 637_35bp-Brkp-5bp
"
638,31.0,1.0," 638_20bp-Brkp-20bp
"
639,31.0,1.0," 639_5bp-Brkp-35bp
"
640,31.0,1.0," 640_10bp-Brkp-30bp
"
641,31.0,1.0," 641_35bp-Brkp-5bp
"
644,31.0,1.0," 644_10bp-Brkp-30bp
"
645,31.0,1.0," 645_35bp-Brkp-5bp
"
647,31.0,1.0," 647_5bp-Brkp-35bp
"
648,31.0,1.0," 648_10bp-Brkp-30bp
"
649,31.0,1.0," 649_35bp-Brkp-5bp
"
651,31.0,1.0," 651_5bp-Brkp-35bp
"
652,31.0,1.0," 652_10bp-Brkp-30bp
"
654,31.0,1.0," 654_20bp-Brkp-20bp
"
657,31.0,1.0," 657_35bp-Brkp-5bp
"
658,31.0,1.0," 658_20bp-Brkp-20bp
"
659,31.0,1.0," 659_5bp-Brkp-35bp
"
660,31.0,1.0," 660_10bp-Brkp-30bp
"
661,31.0,1.0," 661_35bp-Brkp-5bp
"
665,31.0,1.0," 665_35bp-Brkp-5bp
"
666,31.0,1.0," 666_20bp-Brkp-20bp
"
668,31.0,1.0," 668_10bp-Brkp-30bp
"
669,31.0,1.0," 669_35bp-Brkp-5bp
"
671,31.0,1.0," 671_5bp-Brkp-35bp
"
674,31.0,1.0," 674_20bp-Brkp-20bp
"
684,31.0,1.0," 684_10bp-Brkp-30bp
"
686,31.0,1.0," 686_20bp-Brkp-20bp
"
687,31.0,1.0," 687_5bp-Brkp-35bp
"
689,31.0,1.0," 689_35bp-Brkp-5bp
"
691,31.0,1.0," 691_5bp-Brkp-35bp
"
694,31.0,1.0," 694_20bp-Brkp-20bp
"
696,31.0,1.0," 696_10bp-Brkp-30bp
"
698,31.0,1.0," 698_20bp-Brkp-20bp
"
701,31.0,1.0," 701_35bp-Brkp-5bp
"
702,31.0,1.0," 702_20bp-Brkp-20bp
"
703,31.0,1.0," 703_5bp-Brkp-35bp
"
704,31.0,1.0," 704_10bp-Brkp-30bp
"
708,31.0,1.0," 708_10bp-Brkp-30bp
"
709,31.0,1.0," 709_35bp-Brkp-5bp
"
710,31.0,1.0," 710_20bp-Brkp-20bp
"
